Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
Bombay Shaving,Bangalore,Ecommerce,Provides a range of male grooming products,6300000.0,2019
Ruangguru,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",150000000.0,2019
Eduisfun,Gurgaon,Edtech,It aims to make learning fun via games.,28000000.0,2019
HomeLane,Noida,Interior design,Provides interior designing solutions,30000000.0,2019
Nu Genes,Hyderabad,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",6000000.0,2019
FlytBase,Bangalore,Technology,A drone automation platform,1.0,2019
Finly,Kalkaji,SaaS,"It builds software products that makes work simpler, pleasant, and productive",1.0,2019
Kratikal,Hyderabad,Technology,It is a product-based cybersecurity solutions provider,1000000.0,2019
Quantiphi,Mumbai,AI & Tech,It is an AI and big data services company providing business solutions.,20000000.0,2019
Lenskart,Bangalore,E-commerce,It is a eyewear company,275000000.0,2019
Cub McPaws,Delhi,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,1.0,2019
Appnomic,Bangalore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",22000000.0,2019
Kaleidofin,India,Fintech,Platform that provides complete financial solutions for excluded individuals and households,5000000.0,2019
JobSquare,Hubli,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,140500.0,2019
Open Secret,Bangalore,Food tech,It produces and sells top quality snacks,1.0,2019
LivFin,Bangalore,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",5000000.0,2019
Byju's,Mumbai,Edtech,Provides online learning classes,540000000.0,2019
Zest Money,Bangalore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,15000000.0,2019
Witblox,Delhi,Edtech,Offers a range of robotics learning tools,182700.0,2019
Azah Personal Care Pvt. Ltd.,Chennai,Health,Aims to solve some problems in the feminine hygiene sector,1.0,2019
SalaryFits,Mumbai,Fintech,A platform that promotes financial well-being of employees at workplace,5000000.0,2019
Pristyn Care,Mumbai,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,12000000.0,2019
Springboard,Delhi,Edtech,Offers online courses and extensive mentor-based learning,11000000.0,2019
DROR Labs Pvt. Ltd,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,1.0,2019
Medlife,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,15500000.0,2019
Seekify,Mohali,SaaS,Customer Experience (CX) Automation platform,1500000.0,2019
Toffee Insurance,Chennai,Insurance technology,Provides variety of insurance plans and policies,5500000.0,2019
Fireflies .ai,Mumbai,AI,Developer of an artificial intelligence-powered assistant for businesses,5000000.0,2019
HungerBox,Mumbai,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",12000000.0,2019
Bijak,Hyderabad,AgriTech,B2B platform for agricultural commodities.,2500000.0,2019
Licious,Delhi,Food,Online meat shop,30000000.0,2019
truMe,Kolkata,IoT,A global platform for Identity and Access Management,140000.0,2019
Pumpkart,Bangalore,E-marketplace,B2B model for appliances and electrical products,1.0,2019
Asteria Aerospace,Bangalore,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",230000000.0,2019
Rivigo,Mumbai,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",20000000.0,2019
HappyEasyGo,Bangalore,Travel,Online flight booking,49400000.0,2019
Zetwerk,Mumbai,Manufacturing,Provides facilities to get products manufactured.,32000000.0,2019
Observe.AI,Delhi,AI,Creates a voice AI platform,26000000.0,2019
Freshokartz,Mumbai,E-marketplace,Online fruits and vegetables delivery company,150000.0,2019
Lil’ Goodness and sCool meal,Chennai,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,400000.0,2019
Trell,Delhi,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,2000000.0,2019
VMate,Hyderabad,,A short video platform,100000000.0,2019
Bombay Shirt Company,India,E-commerce,Online custom shirt brand,8000000.0,2019
Slintel,Mumbai,SaaS,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",1500000.0,2019
MyGameMate,Delhi,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,100000.0,2019
Afinoz,Delhi,Fintech,Online financial marketplace for customized rate quotes on loans and investment products in India,1.0,2019
Rein Games,Bangalore,Technology,"It develops, publishes and distributes games across various platforms",50000000.0,2019
Ecozen,Mumbai,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,6000000.0,2019
Box8,Pune,Foodtech,Enables to order food online,120000000.0,2019
Awign Enterprises,Jodhpur,,It supplies workforce to the economy,4000000.0,2019
Purplle,Chennai,Cosmetics,Online makeup and beauty products retailer,30000000.0,2019
Freightwalla,Kanpur,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,4000000.0,2019
TapChief,Bangalore,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,1500000.0,2019
eJOHRI,Hyderabad,Jewellery,Omnichannel marketplace for gems and jewellery,1000000.0,2019
Ninjacart,Delhi,B2B Supply Chain,"It connects producers of food directly to retailers, restuarants and service providers.",1.0,2019
Binca Games,Kolkata,Games,It offers games that are available across India and UK.,1.0,2019
KredX,Mumbai,,Invoice discounting platform,26000000.0,2019
m.Paani,Delhi,,It digitizes and organises local retailers,5500000.0,2019
Origo,Mumbai,AgriTech,It provides post-harvest management services for agricultural commodities,6800000.0,2019
WishADish,India,Food & tech,Provides management solution for restaurants,6000000.0,2019
Ecom Express,Bangalore,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,36000000.0,2019
Stanza Living,Bangalore,Accomodation,Provides comfortable and secure accomodation for students,5700000.0,2019
PiBeam,Hyderabad,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,50000000.0,2019
Euler Motors,Delhi,Automotive tech,It is offering mobility as a service,2000000.0,2019
Moms Co,Bangalore,E-commerce,It is into mother and baby care-focused consumer goods,5000000.0,2019
Cubical Labs,Delhi,IoT,Home automation solution provider,1.0,2019
Lawyered,Pune,Legal tech,It helps to connect to legal advise online,100000.0,2019
Cuemath,Delhi,Edtech,It helps students to learn math online,5500000.0,2019
Licious,Bangalore,Food,Online meat shop,25000000.0,2019
Nivesh.com,Ahmedabad,Mutual Funds,The platform simplifies the process of investment,600000.0,2019
Zebu,Bangalore,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",4000000.0,2019
Smart Institute,Chennai,Edtech,A platform to learn online,1500000.0,2019
CarDekho,Bangalore,Automobile,Enables people to buy and sell new/old cars.,70000000.0,2019
Shadowfax,Mumbai,Logistics,A platform for delivery services,60000000.0,2019
Credr,Delhi,Automobile,A marketplace to buy and sell used bikes and scooters,6000000.0,2019
Sportido,Hyderabad,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,1.0,2019
Phable,Gurgaon,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",220000.0,2019
Sarva,Bangalore,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2800000.0,2019
IndyFint,Azadpur,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2100000.0,2019
Zolostays,Bangalore,Accomodation,It offers affordable housing apartments to young professionals and students,7000000.0,2019
Ola,Bangalore,Transportation,It enables one to book cab online,311000000.0,2019
Zoomcar,Mumbai,Transport & Rentals,A car rental service platform,4800000.0,2019
Kratikal,Delhi,Technology,Provides cyber security solutions,1000000.0,2019
Froogal,Gurgaon,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,1000000.0,2019
Infra.Market,Haryana,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",20000000.0,2019
Oyo,Bangalore,Hospitality,Provides rooms for comfortable stay,693000000.0,2019
GoMechanic,Pune,Automobile & Technology,Find automobile repair and maintenance service providers,5000000.0,2019
Spinny,Bangalore,Automobile,Online car retailer,50000000.0,2019
Ess Kay Fincorp,Noida,Banking,Organised Non-Banking Finance Company,33000000.0,2019
