Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
Aqgromalin,Chennai,AgriTech,Cultivating Ideas for Profit,200000.0,2020
Krayonnz,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,100000.0,2020
PadCare Labs,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,1.0,2020
NCOME,Delhi,Escrow,Escrow-as-a-service platform,400000.0,2020
Gramophone,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,340000.0,2020
qZense,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,600000.0,2020
MyClassboard,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,600000.0,2020
Metvy,Gurgaon,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,1.0,2020
Rupeek,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",45000000.0,2020
Gig India,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,1000000.0,2020
Slurrp Farm,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,2000000.0,2020
Medfin,Bangalore,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,1.0,2020
MasterG,Delhi,Fashion startup,MasterG is a design and skill development organisation.,1.0,2020
Brila 91,Delhi,Food & Bevarages,Bira 91 is a craft beer company.,1200000.0,2020
FoodyBuddy,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,600000.0,2020
Zomato,Gurgaon,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,660000000.0,2020
OurEye.ai,Bangalore,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",120000.0,2020
Shiprocket,Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,7500000.0,2020
Pine Labs,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,1.0,2020
Moneyboxx Finance,Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,1000000.0,2020
EWar,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,1.0,2020
SucSEED Indovation,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",5000000.0,2020
TaxBuddy.com,Mumbai,FinTech,TaxBuddy for any tax related issues.,1000000.0,2020
Awign Enterprises,Bangalore,Work fulfillment,Operations and manpower outsourcing startup,500000.0,2020
Circle of Angels,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,3000000.0,2020
CoinDCX,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,10000000.0,2020
Glance,Bangalore,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,145000000.0,2020
VerSe Innovation,Bangalore,Telecommunication,Owner of Dailyhunt App and I-Pay,100000000.0,2020
Voosh,Bangalore,Food Industry,Building India's largest digital food service brand,1.0,2020
Arya,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",21000000.0,2020
Pickrr,Delhi,Logistics,Pickrr is an on-demand first mile logistics company,4000000.0,2020
PhonePe,Andheri,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,20000000.0,2020
Countingwell,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",1000000.0,2020
Callify.ai,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,560000.0,2020
Hudle,Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,1.0,2020
