Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
Unbox Robotics,Bangalore,AI startup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",1200000.0,2021
upGrad,Mumbai,EdTech,UpGrad is an online higher education platform.,120000000.0,2021
Lead School,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,30000000.0,2021
Bizongo,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,51000000.0,2021
FypMoney,Gurgaon,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2000000.0,2021
Urban Company,Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",188000000.0,2021
Comofi Medtech,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,200000.0,2021
Qube Health,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,10.0,2021
Vitra.ai,Bangalore,Tech Startup,Vitra.ai is an AI-based video translation platform,10.0,2021
Taikee,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",1000000.0,2021
Fitterfly,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",3000000.0,2021
FreeStand,Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,100000.0,2021
MyDentalPlan,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,700000.0,2021
Freyr Energy,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2000000.0,2021
DealShare,Jaipur,E-commerce,DealShare is a Social Commerce Startup,9000000.0,2021
Tessolve,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",40000000.0,2021
Smart Joules,Delhi,Renewable Energy,Smart Joules is an energy management company.,49000000.0,2021
ORAI,Bangalore,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,400000.0,2021
ixamBee,Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,300000.0,2021
CoinSwitch Kuber,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,25000000.0,2021
Razorpay,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",160000000.0,2021
Uable,Bangalore,EdTech,Uable offers role based programmes to empower children to explore different domains.,10.0,2021
ZFW Hospitality,Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,150000.0,2021
Optimized Electrotech,Ahmedabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",1800000.0,2021
Northern Arc,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,5000000.0,2021
Chara,Bangalore,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",850000.0,2021
Sirona Hygiene,Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,3000000.0,2021
Pristyn Care,Gurgaon,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,53000000.0,2021
TrulyMadly,Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,2000000.0,2021
Vidyakul,,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,500000.0,2021
Jambox Games,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",1100000.0,2021
Miko,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",6000000.0,2021
SuperK,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,800000.0,2021
TagZ Foods,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,500000.0,2021
Fuel Buddy,Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,1000000.0,2021
M1xchange,Gurgaon,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,10000000.0,2021
Spintly,Goa,Tech Startup,Wireless cloud based access control platform,500000.0,2021
EF Polymer,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,200000.0,2021
boAt,Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,6000000.0,2021
TruNativ,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,10.0,2021
iBus,Bangalore,Telecommuncation,iBus Networks is an in-building connectivity solutions company,21000000.0,2021
Puresh Daily,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,100000.0,2021
LearnVern,Ahmedabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,1000000.0,2021
LimeChat,Faridabad,AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,7500000.0,2021
Dybo,Bangalore,IT,Product Visualisation Technology for Commerce,100000.0,2021
moEVing,Gurgaon,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",1000000.0,2021
WeWork India,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",26000000.0,2021
